date,code,market,volume_shares
2026-09-16,3006,上市,12191590
2026-09-17,3006,上市,11004816
2026-09-18,3006,上市,14291230
2026-09-21,3006,上市,14291230
2026-09-14,3008,上市,2655512
2026-09-15,3008,上市,2988683
2026-09-16,3008,上市,2427181
2026-09-17,3008,上市,2145354
2026-09-18,3008,上市,2850571
2026-09-21,3008,上市,2850571
2026-09-14,3017,上市,2215371
2026-09-15,3017,上市,3217593
2026-09-16,3017,上市,2744795
2026-09-17,3017,上市,3034388
2026-09-18,3017,上市,3785048
2026-09-21,3017,上市,3785048
2026-09-14,3019,上市,3299341
2026-09-15,3019,上市,2307775
